team,recoveries,recoveries_opponent_field,recoveries_f3,duels,duels_won,fouls_committed,fouls_opponent_field,fouls_f3,shots_against,shots_onTarget,xGA,goals_against,clean_sheets,MP,ppda_x,ppda_y,ppda
Frosinone,1858,746,413,1604,440,686,359,196,778,227,68.6773387519,75,7,38,11.2646262162346,11.2646262162346,11.2646262162346
Espanyol,1685,637,354,1672,492,765,384,174,497,181,53.6415535731,72,7,38,12.442267573463598,12.442267573463598,12.442267573463598
Aston Villa,1842,675,379,1580,462,499,210,97,507,186,59.6440671942,72,6,38,18.55217129791433,18.55217129791433,18.55217129791433
Rayo Vallecano,1820,729,420,1784,433,642,328,131,484,190,60.0971117519,71,6,38,12.096441005413004,12.096441005413004,12.096441005413004
VfB Stuttgart,1643,686,412,1505,371,554,303,151,462,205,61.0385987485,68,4,34,13.413913882752189,13.413913882752189,13.413913882752189
AFC Bournemouth,1864,735,426,1473,410,419,226,118,440,155,46.7038072939,67,7,38,13.56300112584535,13.56300112584535,13.56300112584535
Levante UD,1794,706,394,1454,375,640,328,162,507,187,57.7700583296,67,6,38,14.78254338043323,14.78254338043323,14.78254338043323
Granada,1710,661,365,1609,459,682,385,172,443,174,58.2703313246,67,4,38,12.261489588873893,12.261489588873893,12.261489588873891
Getafe,1832,725,409,1517,465,654,308,128,478,192,55.9477912797,66,8,38,13.397507374105263,13.397507374105263,13.397507374105265
Norwich City,1830,757,413,1626,401,481,249,111,499,167,59.4055127427,66,5,38,15.063336008247,15.063336008247,15.063336008247001
Newcastle United,1833,651,363,1735,498,495,231,110,558,181,56.3059680077,63,8,38,14.66316015251835,14.66316015251835,14.66316015251835
Palermo,2045,775,438,1489,408,674,360,183,618,200,56.9825543096,62,10,38,15.078053706066171,15.078053706066171,15.078053706066171
Werder Bremen,1754,732,410,1582,404,582,321,161,436,174,47.8193183597,62,2,34,12.549427902234006,12.549427902234006,12.549427902234006
Sporting Gijón,1768,653,347,1793,469,637,328,136,546,205,58.2831013148,61,7,38,14.71952825075797,14.71952825075797,14.71952825075797
Hellas Verona,1924,763,430,1576,462,678,374,199,528,178,58.2684040655,61,3,38,13.110070471919704,13.110070471919704,13.110070471919705
Hannover 96,1611,603,350,1483,350,570,280,143,504,206,61.609897531,61,5,34,17.921968209025437,17.921968209025437,17.921968209025437
Sunderland,1793,676,390,1719,513,474,220,95,584,219,61.214140241,61,7,38,17.151977334851704,17.151977334851704,17.151977334851704
RC Deportivo La Coruña,1770,712,395,1611,525,471,234,98,417,157,47.9796099412,60,7,38,15.332503825452331,15.332503825452331,15.332503825452333
Eibar,1934,843,442,1842,508,718,390,179,392,153,49.8720044361,60,7,38,11.845799698647724,11.845799698647724,11.845799698647724
Udinese,1817,709,393,1504,374,640,329,161,537,170,48.1910998489,59,8,38,16.96105102921182,16.96105102921182,16.96105102921182
Sampdoria,1810,679,361,1281,409,617,322,165,609,206,63.5577506336,59,7,38,13.111064405286418,13.111064405286418,13.111064405286418
Carpi,2035,752,392,1726,500,706,378,183,513,172,49.4595075409,57,8,38,14.804232941881011,14.804232941881011,14.804232941881011
Celta Vigo,1895,724,402,1714,516,616,310,141,469,166,49.9075976101,57,10,38,10.52855354456707,10.52855354456707,10.52855354456707
Stoke City,1917,689,339,1446,442,480,228,97,539,175,55.236535552,55,10,38,16.481815876626044,16.481815876626044,16.481815876626044
Everton,2001,738,428,1437,468,384,208,97,557,188,54.4084047828,54,10,38,15.899413006681376,15.899413006681376,15.899413006681375
Las Palmas,1819,608,321,1452,447,543,285,147,482,187,57.9173288111,52,11,38,12.819699386424162,12.819699386424162,12.819699386424162
Torino,1754,599,334,1396,423,708,352,185,452,147,40.7689972019,52,6,38,12.711547889516565,12.711547889516565,12.711547889516563
Eintracht Frankfurt,1679,644,357,1449,401,589,305,156,431,173,53.3480105839,52,8,34,14.506134551722786,14.506134551722786,14.506134551722786
Chelsea,1852,785,435,1590,529,469,237,95,493,176,47.968943584,51,9,38,13.08297292476341,13.08297292476341,13.08297292476341
Real Betis,1832,710,391,1679,464,597,276,120,531,183,55.6544533862,51,12,38,14.525473719569492,14.525473719569492,14.525473719569492
Augsburg,1501,538,295,1370,340,583,272,141,541,179,53.6628659346,51,11,34,17.45522518043279,17.45522518043279,17.45522518043279
Hoffenheim,1546,567,321,1380,339,541,305,129,545,203,56.1479535925,51,6,34,16.36444457223568,16.36444457223568,16.36444457223568
Darmstadt 98,1489,632,383,1748,365,615,334,191,501,154,50.8028198747,50,8,34,14.103313859602553,14.103313859602553,14.103313859602551
Lazio,2127,875,481,1504,443,645,346,175,432,157,43.9464068784,50,12,38,11.45939259480766,11.45939259480766,11.45939259480766
Liverpool,1999,872,475,1701,533,484,253,125,405,133,38.0275735649,49,11,38,10.999069154866849,10.999069154866849,10.999069154866847
West Ham United,1941,777,448,1635,429,443,227,117,530,162,54.267445217,49,11,38,14.290503354144995,14.290503354144995,14.290503354144995
Wolfsburg,1675,585,324,1191,344,509,256,124,386,148,39.7844554166,49,9,34,20.223516023509195,20.223516023509195,20.223516023509195
Sevilla,1671,664,420,1436,427,643,313,175,544,172,45.2015918122,48,11,38,11.689583060825663,11.689583060825663,11.689583060825665
Empoli,1882,748,399,1223,361,560,330,164,539,164,44.6789548258,48,12,38,13.013962953346494,13.013962953346494,13.013962953346494
Watford,1885,756,430,1757,482,527,278,124,513,174,53.4119079633,48,11,38,14.194620833965622,14.194620833965622,14.194620833965622
Crystal Palace,1971,859,485,1654,407,553,296,166,570,171,52.8010225087,47,8,38,12.315718684887251,12.315718684887251,12.315718684887253
Valencia,1745,647,328,1634,482,643,326,160,521,181,56.9469586507,47,7,38,13.401330519492983,13.401330519492983,13.401330519492983
Borussia Mönchengladbach,1647,635,333,1374,375,505,260,128,443,148,47.2092283926,47,7,34,13.160300759409756,13.160300759409756,13.160300759409756
Swansea City,1672,648,346,1528,430,463,218,99,526,172,50.7387962546,47,9,38,14.383003861327962,14.383003861327962,14.383003861327962
Schalke 04,1614,623,355,1279,349,571,279,149,491,161,44.2772296339,47,8,34,15.078556645753956,15.078556645753956,15.078556645753956
Real Sociedad,1788,782,428,1617,459,544,307,154,423,157,45.9748473994,47,13,38,12.380549716049376,12.380549716049376,12.380549716049376
Atalanta,1801,688,387,1638,486,692,342,169,476,159,48.0658675044,46,11,38,13.02377859134601,13.02377859134601,13.02377859134601
West Bromwich Albion,1852,716,385,1675,385,464,242,125,557,158,48.6980629889,45,11,38,15.188266100876293,15.188266100876293,15.188266100876293
Genoa,2042,779,407,1588,430,686,362,164,515,169,45.8826308278,45,12,38,12.863694547016,12.863694547016,12.863694547016
Bologna,1907,741,413,1536,449,585,304,154,487,157,51.6072931076,45,13,38,16.079886544006943,16.079886544006943,16.079886544006943
Hamburger SV,1690,644,314,1707,421,629,329,164,467,171,46.5797046487,44,9,34,14.35757627154003,14.35757627154003,14.35757627154003
Chievo,1866,726,371,1554,408,689,379,191,604,179,49.6156625703,43,12,38,14.185335663591706,14.185335663591706,14.185335663591706
Athletic Club,1910,881,453,1623,480,579,350,171,385,137,40.7937003,43,13,38,12.789078674044331,12.789078674044331,12.789078674044333
AC Milan,1993,827,482,1455,455,646,358,182,463,146,38.6860510734,42,11,38,10.719767518639046,10.719767518639046,10.719767518639046
Hertha Berlin,1479,566,296,1352,351,520,245,124,430,144,42.5199736649,42,13,34,15.903727546609082,15.903727546609082,15.903727546609082
Ingolstadt,1633,720,412,1819,366,572,350,173,360,116,41.8572353584,42,10,34,11.000705077593082,11.000705077593082,11.000705077593082
Fiorentina,1877,732,398,1247,375,591,361,180,352,114,35.2719858525,42,14,38,11.255345241231764,11.255345241231764,11.255345241231765
FC Köln,1479,508,291,1378,369,500,237,122,485,162,41.7555164361,42,8,34,19.02010456143242,19.02010456143242,19.02010456143242
Southampton,1830,769,453,1647,447,500,259,118,471,141,39.7503228985,41,12,38,13.720117231276117,13.720117231276117,13.720117231276115
FSV Mainz 05,1644,599,311,1539,385,586,330,163,465,161,48.3743091504,41,9,34,14.108691821057064,14.108691821057064,14.108691821057064
Manchester City,1974,922,561,1404,478,482,240,118,343,127,39.0589341493,39,16,38,11.831283498448032,11.831283498448032,11.831283498448032
Bayer Leverkusen,1944,815,468,1535,398,565,322,157,360,139,40.5244760824,39,13,34,12.279723058659105,12.279723058659105,12.279723058659105
Sassuolo,2026,760,419,1489,392,622,349,181,483,147,41.1992473737,39,11,38,12.045412287445464,12.045412287445464,12.045412287445464
AS Roma,1841,777,468,1208,332,577,339,170,439,151,41.1149258354,38,8,38,11.34421167848602,11.34421167848602,11.344211678486019
Inter Milan,1923,776,436,1437,408,558,285,143,476,153,44.0858811161,37,15,38,12.89563333407992,12.89563333407992,12.89563333407992
Leicester City,1915,820,472,1983,528,457,239,116,517,138,46.1335511507,36,15,38,14.181316533619368,14.181316533619368,14.181316533619368
Real Madrid,1715,716,448,1122,469,497,267,134,440,142,44.3344933616,34,14,38,12.78511373776504,12.78511373776504,12.78511373776504
Villarreal,1726,610,333,1544,418,613,310,135,461,135,39.891905242,34,17,38,14.63058019981886,14.63058019981886,14.63058019981886
Arsenal,1903,823,495,1416,471,404,212,108,456,150,33.5746859927,33,18,38,13.068067229407212,13.068067229407212,13.068067229407212
Borussia Dortmund,1688,753,412,1152,344,425,239,120,270,108,30.8049580068,33,13,34,12.438475974148233,12.438475974148233,12.438475974148231
Manchester United,1844,792,440,1636,480,534,263,129,415,125,38.518749434300005,33,18,38,12.723433100677711,12.723433100677711,12.723433100677711
Málaga,1876,760,431,1663,445,636,375,198,409,137,42.8948554254,32,12,38,11.342219867969256,11.342219867969256,11.342219867969256
Tottenham Hotspur,1976,874,504,1648,507,500,273,134,428,122,35.5612196074,32,13,38,10.57166126856957,10.57166126856957,10.57166126856957
Napoli,1847,812,452,1207,433,485,290,147,348,90,28.2746211425,32,15,38,13.472731379274682,13.472731379274682,13.472731379274682
Barcelona,1737,777,466,1012,395,426,256,135,368,124,32.6863177642,27,18,38,10.510512342472584,10.510512342472584,10.510512342472584
Juventus,1870,813,478,1172,397,617,340,185,349,98,22.4441384756,19,22,38,11.246690413984767,11.246690413984767,11.246690413984767
Atlético Madrid,1900,861,502,1800,576,590,325,147,371,103,25.7091890812,18,24,38,13.421035588435588,13.421035588435588,13.421035588435588
Bayern Munich,1604,741,429,1037,297,426,247,140,254,81,22.5902786853,16,20,34,11.116863162705272,11.116863162705272,11.116863162705272
