team,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,MP,Sh/90,SoT/90
Tottenham Hotspur,656,249,188,15,185,68,62.3562029292,37.957317073170735,10.365853658536585,27.309236947791167,0.09505518739207318,38,17.263157894736842,6.552631578947368
Liverpool,635,203,183,11,215,62,58.3736570603,31.968503937007874,9.763779527559056,30.541871921182267,0.09192701899259842,38,16.710526315789473,5.342105263157895
Manchester City,614,209,189,9,178,71,64.5550554535,34.039087947882734,11.563517915309445,33.97129186602871,0.10513852679723128,38,16.157894736842106,5.5
Arsenal,583,209,159,12,171,62,65.1361259979,35.84905660377358,10.634648370497427,29.665071770334926,0.11172577358130359,38,15.342105263157896,5.5
West Ham United,559,181,186,11,150,64,54.5265472509,32.379248658318424,11.449016100178891,35.35911602209944,0.09754301833792486,38,14.710526315789474,4.7631578947368425
Chelsea,535,172,171,3,169,55,53.5799953292,32.149532710280376,10.2803738317757,31.976744186046513,0.1001495239798131,38,14.078947368421053,4.526315789473684
Southampton,527,168,195,11,130,57,54.2232578082,31.87855787476281,10.815939278937382,33.92857142857143,0.1028904322736243,38,13.868421052631579,4.421052631578948
Leicester City,525,179,177,9,134,67,66.282170986,34.095238095238095,12.761904761904763,37.43016759776536,0.1262517542590476,38,13.81578947368421,4.7105263157894735
Everton,498,173,137,11,157,56,50.6147446276,34.738955823293175,11.244979919678714,32.369942196531795,0.10163603338875501,38,13.105263157894736,4.552631578947368
AFC Bournemouth,478,144,156,5,158,43,40.3515900006,30.125523012552303,8.99581589958159,29.86111111111111,0.08441755230251045,38,12.578947368421053,3.789473684210526
Crystal Palace,477,155,157,9,128,38,42.3834959999,32.494758909853246,7.966457023060797,24.516129032258064,0.08885428930796646,38,12.552631578947368,4.078947368421052
Sunderland,451,147,151,7,130,44,42.4875824305,32.59423503325942,9.75609756097561,29.931972789115648,0.094207499845898,38,11.868421052631579,3.8684210526315788
Watford,450,139,143,8,140,36,44.0821463227,30.88888888888889,8.0,25.899280575539567,0.09796032516155555,38,11.842105263157896,3.6578947368421053
Swansea City,448,133,140,12,140,41,42.1451828459,29.6875,9.151785714285714,30.82706766917293,0.09407406885245537,38,11.789473684210526,3.5
Manchester United,431,141,121,7,142,46,42.1985886025,32.71461716937355,10.672853828306264,32.62411347517731,0.0979085582424594,38,11.342105263157896,3.710526315789474
Stoke City,425,129,169,3,99,40,40.3688437871,30.352941176470587,9.411764705882353,31.007751937984494,0.09498551479317646,38,11.18421052631579,3.3947368421052633
Norwich City,424,123,164,9,113,38,38.8913271142,29.009433962264154,8.962264150943396,30.89430894308943,0.09172482809952831,38,11.157894736842104,3.236842105263158
Newcastle United,404,150,126,5,111,43,40.665337452,37.12871287128713,10.643564356435643,28.666666666666668,0.10065677587128713,38,10.631578947368421,3.9473684210526314
West Bromwich Albion,396,103,141,6,122,32,38.6267824366,26.01010101010101,8.080808080808081,31.06796116504854,0.09754237989040404,38,10.421052631578947,2.710526315789474
Aston Villa,392,113,144,7,108,25,29.5810166938,28.8265306122449,6.377551020408164,22.123893805309734,0.07546177728010203,38,10.31578947368421,2.973684210526316
